bandes,services,renvoie_specifique,text_renvoie_specifique,renvoie_global,text_renvoie_global,observation
"Inférieure à 8,3",Non attribuée,,,5.53,"Les administrations qui autorisent l'emploi de fréquences inférieures à 8,3 kHz doivent s'assurer qu'aucun brouillage préjudiciable n'est causé aux services auxquels sont attribuées les bandes de fréquences supérieures à 8,3 kHz. (CMR-12)",
"Inférieure à 8,3",Non attribuée,,,5.54,"Les administrations qui effectuent des recherches scientifiques sur des fréquences inférieures à 8.3KHz sont instamment priées d'en informer les autres administrations qui pourraient être concernées, afin que ces recherches bénéficient de toute la protection pratiquement réalisable contre les brouillages préjudiciables. (CMR-12)",
"8,3-9",AUXILIAIRES DE LA MÉTÉOROLOGIE,5.54A,"L'utilisation de la bande de fréquences 8,3-11,3 kHz par les stations du service des auxiliaires de la météorologie est limitée à une utilisation passive uniquement. Dans la bande 9-11,3 kHz, les stations du service des auxiliaires de la météorologie ne doivent pas demander à être protégées vis-à-vis des stations du service de radionavigation notifiées au Bureau avant le 1er janvier 2013. Pour le partage entre les stations du service des auxiliaires de la météorologie et les stations du service de radionavigation notifiées après cette date, il convient d'appliquer les dispositions de la version la plus récente de la Recommandation UIT-R RS.1881. (CMR-12)",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"8,3-9",AUXILIAIRES DE LA MÉTÉOROLOGIE,5.54B,,,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"8,3-9",AUXILIAIRES DE LA MÉTÉOROLOGIE,5.54C,,,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
"9-11,3",AUXILIAIRES DE LA MÉTÉOROLOGIE,5.54A,"L'utilisation de la bande de fréquences 8,3-11,3 kHz par les stations du service des auxiliaires de la météorologie est limitée à une utilisation passive uniquement. Dans la bande 9-11,3 kHz, les stations du service des auxiliaires de la météorologie ne doivent pas demander à être protégées vis-à-vis des stations du service de radionavigation notifiées au Bureau avant le 1er janvier 2013. Pour le partage entre les stations du service des auxiliaires de la météorologie et les stations du service de radionavigation notifiées après cette date, il convient d'appliquer les dispositions de la version la plus récente de la Recommandation UIT-R RS.1881. (CMR-12)",,,"Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153."
14-19.95,FIXE,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 14-19,95 kHz. Cf. no 5.57 du RR."
14-19.95,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 14-19,95 kHz. Cf. no 5.57 du RR."
20.05-70,FIXE,,,5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 20,05-70 kHz. Cf. no 5.57 du RR."
20.05-70,MOBILE MARITIME,5.57,"L'utilisation des bandes 14-19,95 kHz, 20,05-70 kHz et 70-90 kHz (72-84 kHz et 86-90 kHz en Région 1) par le service mobile maritime est limitée aux stations côtières radiotélégraphiques (A1A et F1B seulement). Exceptionnellement, l'utilisation d'émissions de la classe J2B ou J7B est autorisée à condition que la largeur de bande nécessaire ne dépasse pas celle qui correspond normalement aux émissions des classes A1A ou F1B dans les bandes considérées.",5.56,"Les stations des services auxquels sont attribuées les bandes 14-19,95 kHz et 20,05-70 kHz et, de plus, en Région 1, les bandes 72-84 kHz et 86-90 kHz peuvent émettre des fréquences étalon et des signaux horaires. Ces stations sont protégées contre les brouillages préjudiciables. Dans les pays suivants: Arménie, Azerbaïdjan, Bélarus, , Fédération de Russie, Géorgie, Kazakhstan, , Kirghizistan, S, Tadjikistan et Turkménistan, les fréquences 25 kHz et 50 kHz seront utilisées à cette fin dans les mêmes conditions. (CMR-12)","Applications SRD inductives (9-148,5 kHz). Cf Rec. UIT-R SM 1896 et Rapport UIT-R SM 2153. Radiotélégraphie maritime pour les stations côtières de classes d’émission A1A et F1B dans la bande 20,05-70 kHz. Cf. no 5.57 du RR."
